"","month","year","coredata.morain.","coredata.motemp."
"308","05","2012",0.06,59.5967741935484
"309","06","2012",0.19,62.1833333333333
"310","07","2012",0.03,63.3064516129032
"311","08","2012",0,64.7903225806452
"312","09","2012",0.02,62.7833333333333
"313","10","2012",0.53,62.6290322580645
"314","11","2012",5.56,56.5
"315","12","2012",7.95,49.5806451612903
"316","01","2013",0.9,49.1612903225806
"317","02","2013",0.31,50.7321428571429
"318","03","2013",1.45,57.1612903225806
"319","04","2013",0.93,60.3833333333333
"320","05","2013",0.02,63.0806451612903
"321","06","2013",0.16,64.55
"322","07","2013",0.03,65.0483870967742
"323","08","2013",0,67.3709677419355
"324","09","2013",0.19,67.2
"325","10","2013",0.07,60
"326","11","2013",0.72,56.0833333333333
"327","12","2013",0.29,49.8709677419355
"328","01","2014",0.05,55.6451612903226
"329","02","2014",7.19,54.5
"330","03","2014",3.76,58.9516129032258
"331","04","2014",1.21,59.8166666666667
"332","05","2014",0.04,64.4516129032258
"333","06","2014",0.02,63.65
"334","07","2014",0.13,67.8709677419355
"335","08","2014",0,67.8548387096774
"336","09","2014",0.92,66.8
"337","10","2014",0.84,65.5967741935484
"338","11","2014",3.83,56.7666666666667
"339","12","2014",11.49,53.8064516129032
"340","01","2015",0,55.4677419354839
"341","02","2015",2.85,58.1071428571429
"342","03","2015",0.51,60.741935483871
"343","04","2015",1.98,59.65
"344","05","2015",0.1,60.741935483871
"345","06","2015",0.01,65.6666666666667
"346","07","2015",0.03,69.7096774193548
"347","08","2015",0.03,70.8548387096774
"348","09","2015",0.03,68.7
"349","10","2015",0.08,66.0645161290323
"350","11","2015",4.42,53.5
"351","12","2015",6.43,49.5645161290323
"352","01","2016",11.8,53.3064516129032
"353","02","2016",1.03,57.9310344827586
"354","03","2016",7.65,56.9032258064516
"355","04","2016",0.89,60.5666666666667
"356","05","2016",0.25,60.5806451612903
"357","06","2016",0,64.0333333333333
"358","07","2016",0.01,63.4838709677419
"359","08","2016",0.04,64.258064516129
"360","09","2016",0.03,65.3333333333333
"361","10","2016",4.89,62.3387096774194
"362","11","2016",2.83,58.0166666666667
"363","12","2016",7.84,50.5161290322581
"364","01","2017",15.72,49.9838709677419
"365","02","2017",12.96,54
"366","03","2017",4.48,56.7
"367","07","2017",0.02,63.5
"368","08","2017",0.02,64.3709677419355
"369","09","2017",0.06,70.1333333333333
"370","10","2017",0.07,63.3225806451613
"371","11","2017",2.75,58.7833333333333
"372","12","2017",0.18,52.741935483871
"373","01","2018",5.29,54.8709677419355
